City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Jaslo,PL,2021-05-31 20:56:52,49.7451,21.4725,48.88,88,91,1.88,overcast clouds
243,Dalbandin,PK,2021-05-31 20:56:53,28.8947,64.4101,86.63,8,0,1.19,clear sky
244,Kafanchan,NG,2021-05-31 20:56:53,9.5833,8.3,73.81,70,95,3.38,overcast clouds
245,Celestun,MX,2021-05-31 20:56:54,20.8667,-90.4,85.37,66,24,17.43,few clouds
246,Taian,CN,2021-05-31 20:56:54,36.1853,117.12,68.52,84,100,4.34,light rain
247,Pumiao,CN,2021-05-31 20:56:55,22.75,108.4833,79.2,95,100,4.14,overcast clouds
248,Merauke,ID,2021-05-31 20:56:56,-8.4667,140.3333,75.47,90,35,12.97,scattered clouds
249,Black River,JM,2021-05-31 20:56:57,18.0264,-77.8487,84.2,68,100,3.09,moderate rain
250,Pangkalanbuun,ID,2021-05-31 20:53:23,-2.6833,111.6167,74.07,98,98,0.72,overcast clouds
251,Kisangani,CD,2021-05-31 20:56:58,0.5167,25.2,72.05,97,99,3.89,overcast clouds
252,Flinders,AU,2021-05-31 20:44:22,-34.5833,150.8552,49.28,90,97,1.01,overcast clouds
253,Cap Malheureux,MU,2021-05-31 20:56:58,-19.9842,57.6142,72.09,79,0,3.0,clear sky
254,Henties Bay,NA,2021-05-31 20:56:59,-22.116,14.2845,57.85,84,0,10.13,clear sky
255,Areia Branca,BR,2021-05-31 20:56:20,-4.9561,-37.1369,81.09,78,83,14.27,broken clouds
256,Sibolga,ID,2021-05-31 20:52:49,1.7427,98.7792,76.66,89,100,3.4,overcast clouds
257,Opuwo,NA,2021-05-31 20:56:59,-18.0607,13.84,62.19,26,8,7.83,clear sky
258,La Palma,US,2021-05-31 20:53:57,33.8464,-118.0467,92.97,65,40,5.01,scattered clouds
